jump,jump_date,jump_type,location,team,aircraft,container,canopy,altitude,delay,formation,remarks
865,5/7/2023,2,4,2,9,3,3,11500,57,,
866,5/7/2023,2,4,2,9,3,1,11500,59,,
867,5/7/2023,2,4,2,9,2,1,10500,56,,
868,5/7/2023,2,4,2,9,3,3,13500,56,,
869,5/7/2023,2,4,2,9,3,1,10500,59,,
870,5/26/2023,2,9,,9,3,1,13500,68,3,
871,5/27/2023,6,9,,9,3,1,13500,65,4,
872,5/27/2023,2,9,,9,3,1,13500,64,12,
873,6/2/2023,2,5,4,9,3,1,13500,71,8,
874,6/2/2023,2,5,4,9,3,1,13500,72,8,
875,6/2/2023,2,5,4,9,3,1,13500,69,8,
876,6/2/2023,2,5,4,9,3,1,13000,67,8,
877,6/2/2023,2,5,4,9,3,1,13500,72,8,
878,6/2/2023,2,5,4,9,3,1,13000,70,8,
879,6/2/2023,2,5,4,9,3,1,13500,70,8,
880,6/2/2023,2,5,4,9,3,1,13500,70,8,
881,6/3/2023,2,5,4,9,3,1,13000,67,8,
882,6/3/2023,2,5,4,9,3,1,13500,68,8,
883,6/3/2023,2,5,4,9,3,1,14000,72,8,
884,6/3/2023,2,5,4,9,3,1,13500,69,8,
885,6/3/2023,2,5,4,9,3,1,13500,68,8,
886,6/3/2023,2,5,4,9,3,1,13500,68,8,
887,6/3/2023,2,5,4,9,3,1,13500,69,8,
888,6/3/2023,2,5,4,9,3,1,12500,63,8,
889,6/3/2023,2,5,4,9,3,1,14000,72,8,
890,6/4/2023,2,5,4,9,3,1,13000,66,8,
891,6/4/2023,2,5,4,9,3,1,13500,67,8,
892,6/4/2023,2,5,4,9,3,1,13500,72,8,
893,6/4/2023,2,5,4,9,3,1,13500,68,8,
894,6/4/2023,2,5,4,9,3,1,13000,67,8,
895,6/4/2023,2,5,4,9,3,1,13500,69,8,
896,6/4/2023,2,5,4,9,3,1,13500,68,8,
897,6/17/2023,2,5,,9,3,1,13000,65,,
898,6/18/2023,2,5,,9,3,1,13000,63,,
899,6/23/2023,2,5,4,9,2,1,13000,67,,
900,6/23/2023,2,5,4,9,3,3,13000,67,,
901,6/23/2023,2,5,4,9,2,1,13000,67,,
902,6/23/2023,2,5,4,9,3,3,14000,72,,
903,6/23/2023,2,5,4,9,2,1,13000,68,,
904,6/23/2023,2,5,4,9,3,3,13000,69,,
905,6/23/2023,2,5,4,9,3,1,14000,73,,
906,6/23/2023,2,5,4,9,2,1,13500,72,,
907,6/23/2023,2,5,4,9,3,3,13500,71,,
908,6/23/2023,2,5,4,9,3,1,13000,68,,
909,6/24/2023,2,5,4,9,2,1,13000,67,,
910,6/24/2023,2,5,4,9,3,3,13000,69,,
911,6/24/2023,2,5,4,9,2,1,13000,67,,
912,6/24/2023,2,5,4,9,3,3,13000,68,,
913,6/24/2023,2,5,4,9,2,1,13000,67,,
914,6/24/2023,2,5,4,9,3,3,13000,67,,
915,6/24/2023,2,5,4,9,2,1,13000,68,,
916,6/24/2023,2,5,4,9,3,3,13000,70,,
917,6/24/2023,2,5,4,9,2,1,13000,68,,
918,6/24/2023,2,5,4,9,3,3,13000,66,,
919,6/25/2023,2,5,4,9,3,1,13000,69,,
920,7/1/2023,2,8,2,9,2,1,10500,55,,
921,7/1/2023,2,8,2,9,3,3,10500,55,,
922,7/1/2023,2,8,2,9,2,1,10500,55,,
923,7/1/2023,2,8,2,9,3,3,10500,55,,
924,7/1/2023,2,8,2,9,2,1,10500,55,,
925,7/1/2023,2,8,2,9,3,3,10500,53,,
926,7/1/2023,2,8,2,9,2,1,10500,54,,
927,7/1/2023,2,8,2,9,3,3,10500,54,,
928,7/1/2023,2,8,2,9,2,1,10500,54,,
929,7/1/2023,2,8,2,9,3,3,10500,54,,
930,7/1/2023,2,8,2,9,2,1,10500,54,,
931,7/1/2023,2,8,2,9,3,3,10500,53,,
932,7/2/2023,2,8,2,9,2,1,14000,72,,
933,7/2/2023,2,8,2,9,3,3,10500,57,,
934,7/2/2023,2,8,2,9,2,1,10500,56,,
935,7/2/2023,2,8,2,9,3,3,11500,58,,
936,7/2/2023,2,8,2,9,2,1,10500,55,,
937,7/2/2023,2,8,2,9,3,3,10500,55,,
938,7/2/2023,2,8,2,9,2,1,10500,54,,
939,7/2/2023,2,8,2,9,3,3,10500,53,,
940,7/2/2023,2,8,2,9,2,1,11000,57,,
941,7/2/2023,2,8,2,9,3,3,10500,54,,
942,7/2/2023,2,8,2,9,2,1,10500,56,,
943,7/2/2023,2,8,2,9,3,3,10500,55,,
944,7/3/2023,2,8,2,9,2,1,10500,56,,
945,7/3/2023,2,8,2,9,3,3,10500,55,,
946,7/3/2023,2,8,2,9,2,1,10500,54,,
947,7/3/2023,2,8,2,9,3,3,10500,56,,
948,7/3/2023,2,8,2,9,2,1,10500,54,,
949,7/3/2023,2,8,2,9,3,3,10500,56,,
950,7/3/2023,2,8,2,9,2,1,10500,56,,
951,7/3/2023,2,8,2,9,3,3,10500,55,,
952,7/7/2023,1,9,,8,3,1,13500,69,38,
953,7/7/2023,1,9,,8,3,1,13500,70,38,
954,7/7/2023,1,9,,8,3,1,13500,68,38,
955,7/7/2023,1,9,,8,3,1,13500,71,38,
956,7/7/2023,1,9,,8,3,1,16500,87,38,
957,7/8/2023,1,9,,8,3,1,17000,84,38,
958,7/8/2023,1,9,,8,3,1,17500,92,38,
959,7/8/2023,1,9,,8,3,1,17000,87,38,
960,7/8/2023,1,9,,8,3,1,17000,85,38,
961,7/9/2023,1,9,,8,3,1,16000,84,38,
962,7/9/2023,1,9,,8,3,1,17000,87,35,
963,7/9/2023,1,9,,8,3,1,16500,85,35,
964,7/9/2023,1,9,,8,3,1,16500,85,35,
965,7/10/2023,2,5,4,9,3,1,14000,72,8,
966,7/10/2023,2,5,4,9,3,1,13000,68,8,
967,7/10/2023,2,5,4,9,3,1,13000,67,8,
968,7/14/2023,2,7,,9,3,2,10500,52,4,Rich Delgado and Ian with Laura
969,7/14/2023,2,7,,9,3,2,13000,65,4,Rich Delgado and Ian with Laura
970,7/14/2023,2,7,,9,3,2,10500,55,4,Rich Delgado and Ian with Laura
971,7/14/2023,2,7,,9,3,2,10500,55,4,Rich Delgado and Ian with Laura
972,7/15/2023,2,7,2,9,3,2,10500,54,4,Ian with Laura and Greg
973,7/15/2023,2,7,2,9,3,2,10500,53,4,Ian with Laura and Greg
974,7/15/2023,2,7,2,9,3,2,10500,55,4,Ian with Laura and Greg
975,7/15/2023,2,7,2,9,3,2,11000,57,4,Ian with Laura and Greg
976,7/15/2023,2,7,2,9,3,2,11000,52,4,Ian with Laura and Greg
977,7/15/2023,2,7,2,9,3,2,10500,53,4,Ian with Laura and Greg
978,7/15/2023,2,7,2,9,3,2,10500,54,4,Ian with Laura and Greg
979,7/16/2023,2,7,2,9,3,2,10500,52,4,Ian with Laura and Greg
980,7/16/2023,2,7,2,9,3,2,11000,56,4,Ian with Laura and Greg
981,7/16/2023,2,7,2,9,3,2,11000,54,4,Ian with Laura and Greg
982,7/16/2023,2,7,,9,2,2,14000,75,14,a good way to end Pre-Nationals
983,7/22/2023,2,1,,10,2,1,13000,65,,
984,7/22/2023,2,1,,10,2,1,13000,63,,
985,7/22/2023,2,1,,10,2,1,13000,60,,
986,7/22/2023,2,1,,10,2,1,13000,62,,
987,7/22/2023,2,1,,10,2,1,13000,64,,
988,7/22/2023,2,1,,10,2,1,13000,63,,
989,7/22/2023,2,1,,10,3,1,13000,62,,
990,7/28/2023,2,8,2,9,2,2,10500,53,4,
991,7/28/2023,2,8,2,9,3,1,10500,54,4,
992,7/28/2023,2,8,2,9,2,2,10500,52,4,
993,7/28/2023,2,8,2,9,3,1,14000,70,4,
994,7/28/2023,2,8,2,9,2,2,10500,52,4,
995,7/28/2023,2,8,2,9,3,1,10500,56,4,
996,7/28/2023,2,8,2,9,2,2,10500,55,4,
997,7/28/2023,2,8,2,9,3,1,11000,56,4,
998,7/28/2023,2,8,2,9,3,2,11000,56,4,
999,7/29/2023,2,7,2,9,2,2,10500,53,4,
1000,7/29/2023,2,7,2,9,3,1,10500,52,4,
1001,7/29/2023,2,7,2,9,2,2,10500,53,4,
1002,7/29/2023,2,7,2,9,3,1,10500,56,4,
1003,7/29/2023,2,7,2,9,2,2,10500,52,4,
1004,7/29/2023,2,7,2,9,3,1,10500,54,4,
1005,7/29/2023,2,7,2,9,2,2,10500,51,4,
1006,7/29/2023,2,7,2,9,3,1,10500,56,4,
1007,7/29/2023,2,7,2,9,2,2,10500,54,4,
1008,7/29/2023,2,7,2,9,3,1,10500,53,4,
1009,7/29/2023,2,7,2,9,3,2,11000,54,4,
1010,7/30/2023,2,8,2,9,2,2,10500,53,4,
1011,7/30/2023,2,8,2,9,3,1,11000,55,4,
1012,7/30/2023,2,8,2,9,3,2,10500,54,4,
1013,7/30/2023,2,8,2,9,2,2,10500,54,4,
1014,7/30/2023,2,8,2,9,3,1,11000,56,4,
1015,7/30/2023,2,8,2,9,3,2,10500,54,4,
1016,7/30/2023,2,8,2,9,2,2,10500,55,4,
1017,7/30/2023,2,8,2,9,3,1,11000,54,4,
1018,7/30/2023,2,8,2,9,2,2,11000,56,4,
1019,7/30/2023,2,8,2,9,3,1,10500,54,4,
1020,8/3/2023,2,5,,9,3,2,14000,69,,
1021,8/4/2023,2,5,,9,3,2,13500,69,,
1022,8/11/2023,2,5,4,9,3,2,13500,34,8,
1023,8/11/2023,2,5,4,9,3,2,13000,67,8,
1024,8/11/2023,2,5,4,9,3,2,12000,66,8,
1025,8/11/2023,2,5,4,9,3,2,13000,62,8,
1026,8/11/2023,2,5,4,9,3,2,13000,68,8,
1027,8/11/2023,2,5,4,9,3,2,13000,68,8,
1028,8/11/2023,2,5,4,9,3,2,13500,69,8,
1029,8/11/2023,2,5,4,9,3,2,13500,69,8,
1030,8/12/2023,2,5,4,9,3,2,13000,69,8,
1031,8/12/2023,2,5,4,9,3,2,13000,67,8,
1032,8/12/2023,2,5,4,9,3,2,14000,71,8,
1033,8/12/2023,2,5,4,9,3,2,13500,71,8,
1034,8/12/2023,2,5,4,9,3,2,13500,70,8,
1035,8/12/2023,2,5,4,9,3,2,14000,71,8,
1036,8/12/2023,2,5,4,9,3,2,13000,66,8,
1037,8/12/2023,2,5,4,9,3,2,13500,69,8,
1038,8/12/2023,2,5,4,9,3,2,13500,70,8,
1039,8/13/2023,2,5,4,9,3,2,14000,73,8,
1040,8/13/2023,2,5,4,9,3,2,13000,70,8,
1041,8/13/2023,2,5,4,9,3,2,13000,67,8,
1042,8/13/2023,2,5,4,9,3,2,13500,69,8,
1043,8/13/2023,2,5,4,9,3,2,13500,68,8,
1044,8/25/2023,2,4,2,9,2,2,10500,52,4,
1045,8/25/2023,2,4,2,9,3,1,10500,53,4,
1046,8/25/2023,2,4,2,9,2,2,10500,51,4,
1047,8/25/2023,2,4,2,9,3,1,10500,52,4,
1048,8/25/2023,2,4,2,9,2,2,10500,53,4,
1049,8/25/2023,2,4,2,9,3,1,10500,56,4,
1050,8/25/2023,2,4,2,9,2,2,10500,54,4,
1051,8/25/2023,2,4,2,9,3,1,10500,54,4,
1052,8/25/2023,2,4,2,9,2,2,10500,53,4,
1053,8/25/2023,2,4,2,9,3,1,13000,65,4,
1054,8/26/2023,2,4,2,9,2,2,11500,57,4,
1055,8/26/2023,2,4,2,9,3,1,11500,57,4,
1056,8/26/2023,2,4,2,9,2,2,11500,60,4,
1057,8/26/2023,2,4,2,9,3,1,11500,59,4,
1058,8/26/2023,2,4,2,9,2,2,11000,56,4,
1059,8/26/2023,2,4,2,9,3,1,11500,59,4,
1060,8/26/2023,2,4,2,9,2,2,11500,59,4,
1061,8/26/2023,2,4,2,9,3,1,11000,57,4,
1062,8/26/2023,2,4,2,9,2,2,11500,57,4,
1063,8/26/2023,2,4,2,9,3,1,10500,55,4,
1064,8/27/2023,2,4,2,9,2,2,11000,57,4,
1065,8/27/2023,2,4,2,9,3,1,11500,59,4,
1066,8/27/2023,2,4,2,9,2,2,11500,58,4,
1067,8/27/2023,2,4,2,9,3,1,11500,59,4,
1068,8/27/2023,2,4,2,9,2,2,11500,59,4,
1069,8/27/2023,2,4,2,9,3,1,11500,61,4,
1070,8/27/2023,2,4,2,9,2,2,11500,57,4,
1071,8/27/2023,2,4,2,9,3,1,11000,55,4,
1072,8/27/2023,2,4,2,9,3,2,11000,57,4,
1073,9/8/2023,2,10,2,9,3,2,11000,56,4,
1074,9/8/2023,2,10,2,9,3,2,11000,56,4,
1075,9/8/2023,2,10,2,9,3,2,11000,56,4,
1076,9/8/2023,2,10,2,9,3,2,11000,55,4,
1077,9/8/2023,2,10,2,9,3,2,10500,55,4,
1078,9/8/2023,2,10,2,9,3,2,10500,53,4,
1079,9/10/2023,2,10,2,9,3,2,10500,52,4,
1080,9/10/2023,2,10,2,9,3,2,10500,51,4,
1081,9/10/2023,2,10,2,9,3,2,10500,55,4,
1082,9/10/2023,2,10,2,9,3,2,11000,57,4,
1083,9/10/2023,2,10,2,9,3,2,11000,54,4,
1084,9/10/2023,2,10,2,9,3,2,11000,57,4,
1085,9/11/2023,2,10,2,9,3,2,11000,56,4,
1086,9/11/2023,2,10,2,9,3,2,11000,56,4,
1087,9/11/2023,2,10,2,9,3,2,11000,56,4,
1088,9/11/2023,2,10,2,9,3,2,10500,55,4,
1089,9/16/2023,2,10,2,9,3,2,11000,55,4,
1090,9/16/2023,2,10,2,9,3,2,11000,53,4,
1091,9/16/2023,2,10,2,9,3,2,11000,57,4,
1092,9/16/2023,2,10,2,9,3,2,10500,56,4,
1093,9/17/2023,2,10,2,9,3,2,10500,56,4,
1094,9/17/2023,2,10,2,9,3,2,11000,56,4,
1095,9/18/2023,2,10,2,9,3,2,11000,55,4,
1096,9/18/2023,2,10,2,9,3,2,10500,52,4,
1097,9/18/2023,2,10,2,9,3,2,10500,55,4,
1098,9/18/2023,2,10,2,9,3,2,10500,53,4,
1099,9/18/2023,2,10,2,9,3,2,11500,58,4,
1100,9/18/2023,2,10,2,9,3,2,10500,55,4,
1101,9/18/2023,2,10,2,9,3,2,10500,51,4,
1102,9/19/2023,2,10,2,9,3,2,10500,56,4,
1103,9/19/2023,2,10,2,9,3,2,10500,52,4,
1104,9/19/2023,2,10,2,9,3,2,10500,53,4,
1105,9/19/2023,2,10,4,9,3,2,13000,67,8,
1106,9/19/2023,2,10,4,9,3,2,13000,65,8,
1107,9/19/2023,2,10,4,9,3,2,13000,68,8,
1108,9/19/2023,2,10,4,9,3,2,13000,71,8,
1109,9/20/2023,2,10,4,9,3,2,13000,66,8,
1110,9/20/2023,2,10,4,9,3,2,13500,69,8,
1111,9/20/2023,2,10,4,9,3,2,13000,69,8,
1112,9/20/2023,2,10,4,9,3,2,13500,68,8,
1113,9/20/2023,2,10,4,9,3,2,13000,66,8,
1114,9/20/2023,2,10,4,9,3,2,13000,66,8,
1115,9/21/2023,2,10,,9,3,2,13000,67,16,
1116,9/21/2023,2,10,,9,3,2,13000,68,16,
1117,9/21/2023,2,10,,9,3,2,13000,69,16,
1118,9/21/2023,2,10,,9,3,2,13000,68,16,
1119,9/21/2023,2,10,,9,3,2,13000,70,16,
1120,9/21/2023,2,10,,9,3,2,13000,65,16,
1121,10/22/2023,1,4,,9,3,2,13000,68,,
1122,10/22/2023,1,4,,9,3,2,13000,69,,
1123,10/22/2023,1,4,,9,3,2,16000,82,,
1124,10/23/2023,1,4,,9,3,2,16000,85,,
1125,10/23/2023,1,4,,9,3,2,16000,79,,
1126,10/23/2023,1,4,,9,3,2,16500,79,,
1127,10/23/2023,1,4,,9,3,2,16500,84,,
1128,10/24/2023,1,4,,9,3,2,18000,93,,
1129,10/24/2023,1,4,,9,3,2,18500,97,,
1130,10/25/2023,1,4,,9,3,2,18000,95,,
1131,10/25/2023,1,4,,9,3,2,18000,96,,
1132,10/25/2023,1,4,,9,3,2,18000,94,,
1133,10/25/2023,1,4,,9,3,2,18000,95,,
1134,10/26/2023,1,4,,9,3,2,18000,97,,
1135,10/26/2023,1,4,,9,3,2,14500,73,,
1136,10/27/2023,1,4,,9,3,2,16000,81,,
1137,12/2/2023,1,4,,9,3,2,16000,78,,
1138,12/2/2023,1,4,,9,3,2,16500,84,,
1139,12/2/2023,1,4,,9,3,2,16500,85,,
1140,12/2/2023,1,4,,9,3,2,16500,83,,
1141,12/2/2023,1,4,,9,3,2,5500,8,,
1142,12/3/2023,4,4,,9,3,2,5500,8,,
1143,12/3/2023,4,4,,9,3,2,5500,8,,
1144,12/3/2023,4,4,,9,3,2,5500,8,,
1145,12/3/2023,4,4,,9,3,2,6000,8,,
1146,12/3/2023,4,4,,9,3,2,13000,56,,
1147,12/19/2023,,4,,9,3,2,13000,61,,Tandem with Joey Buscko
1148,12/30/2023,2,4,,9,3,2,13000,67,,
1149,12/30/2023,2,4,,9,3,2,13000,67,,
1150,12/31/2023,2,4,,9,3,2,13000,62,,
1151,12/31/2023,2,4,,9,3,2,13000,63,,
1152,12/31/2023,2,4,,9,3,2,13000,63,,
1153,12/31/2023,2,4,,9,3,2,13000,63,,
1154,12/31/2023,2,4,,9,5,2,13000,63,,
1155,1/26/2024,2,4,,9,3,1,13500,67,,
1156,1/27/2024,2,4,3,9,5,2,11500,58,4,
1157,1/27/2024,2,4,3,9,3,1,11500,59,4,
1158,1/27/2024,2,4,3,9,3,2,13000,68,4,
1159,1/27/2024,2,4,3,9,3,2,13000,66,4,
1160,1/28/2024,2,4,3,9,5,2,11500,57,4,
1161,1/28/2024,2,4,3,9,3,1,11500,55,4,
1162,1/28/2024,2,4,3,9,5,2,11500,58,4,
1163,1/28/2024,2,4,3,9,3,1,11500,58,4,
1164,1/28/2024,2,4,3,9,5,2,11500,58,4,
1165,1/28/2024,2,4,3,9,3,1,11500,60,4,
1166,1/28/2024,2,4,3,9,5,2,13000,68,4,
1167,1/28/2024,2,4,3,9,3,1,13000,66,4,
1168,1/28/2024,2,4,3,9,5,2,10500,52,4,
1169,1/28/2024,2,4,3,9,3,1,13000,65,4,
1170,2/10/2024,1,4,,9,3,2,16500,83,,
1171,2/10/2024,1,4,,9,3,2,16500,77,,
1172,2/10/2024,1,4,,9,3,2,16000,81,,
1173,2/10/2024,1,4,,9,3,2,16000,82,,
1174,2/10/2024,1,4,,9,3,2,16000,82,,
1175,2/10/2024,1,4,,9,3,2,16000,82,,
1176,2/11/2024,1,4,,8,3,2,16000,81,,
1177,2/11/2024,1,4,,8,3,2,16500,81,,
1178,2/11/2024,1,4,,8,3,2,16000,83,,
1179,2/11/2024,1,4,,8,3,2,16000,81,,
1180,2/11/2024,1,4,,8,3,2,16500,81,,
1181,2/29/2024,2,4,3,9,5,2,11000,56,4,
1182,2/29/2024,2,4,3,9,3,1,11000,53,4,
1183,2/29/2024,2,4,3,9,5,2,11000,55,4,
1184,2/29/2024,2,4,3,9,3,1,10500,55,4,
1185,2/29/2024,2,4,3,9,5,2,10500,53,4,
1186,2/29/2024,2,4,3,9,3,1,10500,53,4,
1187,2/29/2024,2,4,3,9,5,2,11000,54,4,
1188,2/29/2024,2,4,3,9,3,1,11000,55,4,
1189,2/29/2024,2,4,3,9,5,2,11000,55,4,
1190,2/29/2024,2,4,3,9,3,1,10500,54,4,
1191,3/1/2024,2,4,3,9,5,2,10500,54,4,
1192,3/1/2024,2,4,3,9,3,1,10500,53,4,
1193,3/1/2024,2,4,3,9,5,2,11000,55,4,
1194,3/1/2024,2,4,3,9,3,1,10500,53,4,
1195,3/1/2024,2,4,3,9,5,2,11000,54,4,
1196,3/1/2024,2,4,3,9,3,1,10500,57,4,
1197,3/1/2024,2,4,3,9,5,2,10500,53,4,
1198,3/1/2024,2,4,3,9,3,1,11000,54,4,
1199,3/1/2024,2,4,3,9,5,2,10500,53,4,
1200,3/1/2024,2,4,3,9,3,1,11000,55,4,
1201,3/1/2024,2,4,3,9,5,2,11000,53,4,
1202,3/1/2024,2,4,3,9,3,1,11000,54,4,
1203,3/2/2024,2,4,3,9,5,2,11000,54,4,
1204,3/2/2024,2,4,3,9,3,1,10500,51,4,
1205,3/2/2024,2,4,3,9,5,2,10500,52,4,
1206,3/2/2024,2,4,3,9,3,1,10500,49,4,
1207,3/3/2024,2,4,3,9,5,2,10500,52,4,
1208,3/3/2024,2,4,3,9,3,1,11000,54,4,
1209,3/3/2024,2,4,3,9,5,2,11000,53,4,
1210,3/3/2024,2,4,3,9,3,1,13000,65,4,
1211,3/3/2024,2,4,3,9,5,2,10500,52,4,
1212,3/3/2024,2,4,3,9,3,1,11000,52,4,
1213,3/3/2024,2,4,3,9,5,2,11000,53,4,
1214,3/3/2024,2,4,3,9,3,1,13000,64,4,
1215,3/3/2024,2,4,3,9,5,2,11000,53,4,
1216,3/3/2024,2,4,3,9,3,1,10500,53,4,
1217,3/3/2024,2,4,3,9,5,2,10500,53,4,
1218,3/3/2024,2,4,3,9,3,1,13000,67,4,
1219,3/22/2024,1,4,,9,3,2,13500,72,20,
1220,3/22/2024,1,4,,9,3,2,13500,69,20,
1221,3/22/2024,1,4,,9,3,2,13500,67,20,
1222,3/22/2024,1,4,,9,3,2,13500,69,20,
1223,3/22/2024,1,4,,9,3,2,13500,70,20,
1224,3/22/2024,1,4,,9,3,2,14000,71,20,
1225,3/23/2024,1,4,,9,3,2,16500,83,40,
1226,3/23/2024,1,4,,9,3,2,16500,86,40,
1227,3/23/2024,1,4,,9,3,2,15500,79,40,
1228,3/23/2024,1,4,,9,3,2,16500,83,40,
1229,3/23/2024,1,4,,9,3,2,16500,84,40,
1230,4/6/2024,4,4,,9,3,2,5000,3,,
1231,4/6/2024,4,4,,9,3,2,5000,3,,
1232,4/6/2024,4,4,,9,3,2,5000,3,,
1233,4/6/2024,4,4,,9,3,2,5000,3,,
1234,4/6/2024,4,4,,9,3,2,5000,3,,
1235,4/27/2024,1,4,,9,3,2,13500,60,,
1236,4/27/2024,1,4,,9,3,2,13500,60,,
1237,4/27/2024,1,4,,9,3,2,13500,60,,
1238,4/27/2024,1,4,,9,3,2,13500,60,,
1239,4/27/2024,1,4,,9,3,2,13500,60,,
1240,4/28/2024,1,4,,9,3,2,16000,70,,
1241,4/28/2024,1,4,,9,3,2,16000,70,,
1242,4/28/2024,1,4,,9,3,2,16000,70,,
1243,4/28/2024,1,4,,9,3,2,16000,70,,
1244,4/28/2024,1,4,,9,3,2,16000,70,,
1245,5/2/2024,2,4,3,9,5,2,10500,45,4,
1246,5/2/2024,2,4,3,9,3,1,10500,45,4,
1247,5/2/2024,2,4,3,9,5,2,10500,45,4,
1248,5/2/2024,2,4,3,9,3,1,10500,45,4,
1249,5/2/2024,2,4,3,9,5,2,10500,45,4,
1250,5/2/2024,2,4,3,9,3,1,10500,45,4,
1251,5/2/2024,2,4,3,9,5,2,10500,45,4,
1252,5/2/2024,2,4,3,9,3,1,10500,45,4,
1253,5/2/2024,2,4,3,9,5,2,10500,45,4,
1254,5/3/2024,2,4,3,9,3,1,10500,45,4,
1255,5/3/2024,2,4,3,9,5,2,10500,45,4,
1256,5/3/2024,2,4,3,9,3,1,10500,45,4,
1257,5/3/2024,2,4,3,9,5,2,10500,45,4,
1258,5/3/2024,2,4,3,9,3,1,10500,45,4,
1259,5/3/2024,2,4,3,9,5,2,10500,45,4,
1260,5/3/2024,2,4,3,9,3,1,10500,45,4,
1261,5/3/2024,2,4,3,9,5,2,10500,45,4,
1262,5/4/2024,2,4,3,9,3,1,10500,45,4,
1263,5/4/2024,2,4,3,9,5,2,10500,45,4,
1264,5/4/2024,2,4,3,9,3,1,10500,45,4,
1265,5/4/2024,2,4,3,9,5,2,10500,45,4,
1266,5/4/2024,2,4,3,9,3,1,10500,45,4,
1267,5/4/2024,2,4,3,9,5,2,10500,45,4,
1268,5/4/2024,2,4,3,9,3,1,10500,45,4,
1269,5/4/2024,2,4,3,9,5,2,10500,45,4,
1270,5/4/2024,2,4,3,9,3,1,10500,45,4,
1271,5/4/2024,2,4,3,9,5,2,10500,45,4,
1272,5/4/2024,2,4,3,9,3,1,10500,45,4,
1273,5/4/2024,2,4,3,9,5,2,10500,45,4,
1274,5/5/2024,2,4,3,9,3,1,10500,45,4,
1275,5/5/2024,2,4,3,9,5,2,10500,45,4,
1276,5/5/2024,2,4,3,9,3,1,10500,45,4,
1277,5/5/2024,2,4,3,9,5,2,10500,45,4,
1278,5/5/2024,2,4,3,9,3,1,10500,45,4,
1279,5/5/2024,2,4,3,9,3,2,10500,45,4,
1280,5/23/2024,2,4,3,9,3,2,10500,45,4,
1281,5/23/2024,2,4,3,9,3,2,10500,45,4,
1282,5/23/2024,2,4,3,9,3,2,13500,60,4,
1283,5/23/2024,2,4,3,9,3,2,13500,60,4,
1284,5/23/2024,2,4,3,9,3,2,13500,60,4,
1285,5/23/2024,2,4,3,9,3,2,13500,60,4,
1286,5/23/2024,2,4,3,9,3,2,13500,60,4,
1287,5/24/2024,1,4,,9,3,2,13000,60,20,
1288,5/24/2024,1,4,,9,3,2,1400,60,20,
1289,5/24/2024,1,4,,9,3,2,13500,60,20,
1290,5/24/2024,1,4,,9,3,2,13500,60,20,
1291,5/24/2024,1,4,,9,3,2,13500,60,20,
1292,5/25/2024,1,4,,9,3,2,13000,60,40,
1293,5/25/2024,1,4,,9,3,2,13500,60,40,
1294,5/25/2024,1,4,,9,3,2,13500,60,40,
1295,5/25/2024,1,4,,9,3,2,16400,70,40,
1296,5/26/2024,1,4,,9,3,2,17500,85,40,
1297,5/26/2024,1,4,,9,3,2,18000,85,100,
1298,5/26/2024,1,4,,9,3,2,18000,85,100,
1299,5/26/2024,1,4,,9,3,2,18000,85,100,
1300,5/27/2024,1,4,,9,3,2,18500,85,100,
1301,5/27/2024,1,4,,9,3,2,17500,80,100,
1302,5/27/2024,1,4,,9,3,2,18500,85,100,
1303,6/21/2024,2,5,,9,3,2,13000,55,,
1304,6/21/2024,2,5,,9,3,2,13000,55,,
1305,6/21/2024,2,5,,9,3,2,13000,55,,
1306,6/21/2024,2,5,,9,6,2,13000,55,,
1307,6/23/2024,4,5,,9,6,1,5000,5,,
1308,6/29/2024,4,5,,9,3,1,5000,5,,
1309,7/1/2024,2,5,,9,6,2,13000,55,,
1310,7/4/2024,1,5,,9,6,1,9000,45,,
1311,7/5/2024,1,5,,9,6,1,15000,65,,
1312,7/5/2024,1,5,,9,6,1,16000,70,,
1313,7/5/2024,1,5,,9,6,1,16000,70,,
1314,7/6/2024,1,5,,9,6,1,17000,75,,
1315,7/6/2024,1,5,,9,6,1,17000,75,,
1316,7/6/2024,1,5,,9,6,1,17000,75,,
1317,7/6/2024,1,5,,9,6,1,17000,75,,
1318,7/7/2024,1,5,,9,6,1,15000,70,,
1319,7/7/2024,1,5,,9,6,1,17000,75,,
1320,7/7/2024,1,5,,8,3,1,17500,75,,
1321,7/18/2024,2,4,3,9,6,2,13000,60,4,
1322,7/18/2024,2,4,3,9,3,1,13000,60,4,
1323,7/18/2024,2,4,3,9,6,2,13000,60,4,
1324,7/18/2024,2,4,3,9,3,1,11000,45,4,
1325,7/18/2024,2,4,3,9,6,2,11000,45,4,
1326,7/18/2024,2,4,3,9,6,1,12500,55,4,
1327,7/19/2024,2,4,3,9,3,1,10500,45,4,
1328,7/19/2024,2,4,3,9,6,2,11000,45,4,
1329,7/19/2024,2,4,3,9,6,1,11000,45,4,
1330,7/19/2024,2,4,3,9,3,1,11000,45,4,
1331,7/19/2024,2,4,3,9,6,2,10500,45,4,
1332,7/19/2024,2,4,3,9,3,1,10500,45,4,
1333,7/19/2024,2,4,3,9,6,2,10500,45,4,
1334,7/19/2024,2,4,3,9,6,1,13500,60,4,
1335,7/20/2024,2,4,3,9,3,1,11000,45,4,
1336,7/20/2024,2,4,3,9,6,2,10500,45,4,
1337,7/20/2024,2,4,3,9,3,1,11000,45,4,
